Paises;Casos;Poblacion;Tasa_Casos;Death;Tasa_Muerte;t_med;t_max;t_min;presion;ha;hr;vel;p_rocio
Albania;243.00;2837743.00;8.56314331495;15.00;0.53;54.91;65.10;46.50;1011.36;0.16;0.64;2.73;42.42
Algeria;716.00;43851043.00;1.63280038744;44.00;0.10;71.70;85.79;55.79;1012.24;0.05;0.17;9.24;24.51
Angola;7.00;32866268.00;0.02129843279;2.00;0.01;83.03;91.17;77.41;1009.33;0.22;0.75;6.17;74.33
Antigua and Barbuda;7.00;97928.00;7.14810881464;0.00;0.00;77.51;83.27;71.49;1016.87;0.20;0.72;7.39;67.92
Argentina;1054.00;45376763.00;2.32277476470;27.00;0.06;72.65;89.01;60.30;1014.37;0.15;0.56;9.84;55.10
Australia;4559.00;25687041.00;17.74824901007;18.00;0.07;69.00;77.40;59.94;1016.97;0.17;0.66;4.97;56.43
Bahamas;14.00;393248.00;3.56009439336;0.00;0.00;75.11;82.58;68.99;1021.40;0.19;0.71;9.45;64.86
Bahrain;567.00;1701583.00;33.32191259551;4.00;0.24;71.87;78.77;66.70;1016.05;0.16;0.61;9.59;57.66
Bangladesh;51.00;164689383.00;0.03096738786;5.00;0.00;79.45;89.85;69.19;1010.71;0.16;0.55;1.37;61.59
Barbados;34.00;287371.00;11.83139565231;0.00;0.00;79.75;85.62;74.65;1015.03;0.20;0.68;14.17;68.46
Belize;152.00;397621.00;38.22735720699;1.00;0.25;81.13;86.48;74.64;1016.11;0.22;0.77;6.41;73.32
Benin;9.00;12123198.00;0.07423783724;0.00;0.00;86.93;100.37;75.74;1008.22;0.16;0.53;6.20;67.19
Bolivia;107.00;11673029.00;0.91664297245;6.00;0.05;83.44;90.87;72.63;1011.19;0.22;0.74;3.79;74.11
Brazil;5717.00;212559409.00;2.68960100468;201.00;0.09;78.80;87.38;71.58;1011.08;0.22;0.79;2.21;71.89
Burkina Faso;261.00;20903278.00;1.24860799344;14.00;0.07;91.70;104.50;78.28;1007.68;0.06;0.18;5.82;41.18
Burma;15.00;54045420.00;0.02775443322;1.00;0.00;85.45;97.18;72.59;1010.13;0.18;0.59;5.19;69.49
Cabo Verde;6.00;555988.00;1.07915998187;1.00;0.18;73.62;80.05;68.69;1012.25;0.20;0.75;11.12;65.05
Central African Republic;3.00;4745185.00;0.06322198186;0.00;0.00;83.30;96.33;73.75;1007.51;0.19;0.65;3.85;69.91
Chad;7.00;16425859.00;0.04261573169;0.00;0.00;88.75;104.36;72.73;1007.13;0.05;0.15;7.07;34.64
Chile;2738.00;19116209.00;14.32292354619;12.00;0.06;68.02;86.56;53.86;1013.60;0.13;0.52;4.67;49.15
Colombia;906.00;50882884.00;1.78055945099;16.00;0.03;58.91;71.11;49.50;1014.60;0.18;0.72;5.37;50.09
Costa Rica;347.00;5094114.00;6.81178316779;2.00;0.04;75.38;82.49;64.37;1010.60;0.15;0.54;14.19;57.52
Cote d'Ivoire;179.00;26378275.00;0.67858872500;1.00;0.00;83.45;94.78;74.40;1008.91;0.20;0.67;6.32;71.11
Dominica;12.00;71991.00;16.66875026045;0.00;0.00;81.61;87.43;71.60;1015.44;0.19;0.66;4.45;68.92
Dominican Republic;1109.00;10847904.00;10.22317306643;51.00;0.47;81.05;86.52;72.06;1015.23;0.21;0.73;7.89;71.64
Ecuador;2240.00;17643060.00;12.69621029459;75.00;0.43;76.34;85.03;67.51;1013.60;0.20;0.73;3.62;66.75
Egypt;710.00;102334403.00;0.69380382275;46.00;0.04;70.08;84.02;54.32;1013.09;0.08;0.32;5.56;38.86
El Salvador;32.00;6486201.00;0.49335504712;1.00;0.02;81.58;91.51;69.76;1015.44;0.16;0.56;7.15;64.35
